Title,Artist,Year,Genre,FavSong,URL,CoverFile,Country,CountryName,Tags,Comment,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric
Il était une forêt,Gris,2007,Depressive Black Metal,Il était une forêt,https://www.youtube.com/watch?v=rMrBWwEMA7w,cover_gris_etait.jpeg,CA,Canada,"Gaze Into the Abyss, Scream Into the Void",,3,0,0,5,0,0,3,,
Progression Through Unlearning,Snapcase,1997,Metalcore,Guilty by Ignorance,https://www.youtube.com/watch?v=wb1byFx1wAk,cover_snapcase_progression.jpeg,US,USA,Truth to Power,,0,5,0,0,1,0,0,,
Absence,dälek,2005,"Industrial Hip Hop, Abstract Hip Hop",Distorted Pose,https://www.youtube.com/watch?v=bflcOAfWH-Y,cover_dalek_absence.jpeg,US,USA,"Truth to Power, Dark and Grimy",,,,,,,,,,
"Stories From the City, Stories From the Sea ",PJ Harvey,2000,Alternative Rock,We Float,https://www.youtube.com/watch?v=pY8n7uYT0mM,coverr_pj_stories.jpeg,GB,United Kingdom,Deep and Moving,,,,,,,,,,
Aethiopes ,Billy Woods,2022,Abstract Hip Hop,Heavy Waters,https://www.youtube.com/watch?v=VJyAZwSWuRA,cover_billy_aethiopes.jpeg,US,USA,"Truth to Power, Dark and Grimy",,,,,,,,,,
Hydeout Productions 2nd Collection ,Various Artists,2007,Instrumental Hip Hop,Imaginary Folklore,https://www.youtube.com/watch?v=84ZtV9qMQe0,cover_hydeout.jpeg,JP,Japan,Floating Into Bliss,,,,,,,,,,
I Love My Computer ,Ninajirachi,2025,Electrohouse,Infohazard,https://www.youtube.com/watch?v=p2ZdeIKJA8c,cover_ninajirachi_love.jpeg,GB,United Kingdom,Eclectic Masterpiece,,1,0,1,2,0,3,0,,
Heart of Android,Camellia,2018,Electrohouse,"Together forever, my lovely video game cartridges",https://www.youtube.com/watch?v=9xeZRQDKmLE,cover_camellia_heart.webp,JP,Japan,Jump for Joy,,0,0,5,0,3,0,0,,
Lift Yr. Skinny Fists Like Antennas to Heaven! ,Godspeed You! Black Emperor,2000,Post-Rock,Storm,https://www.youtube.com/watch?v=5eZ_TgE3x_A,cover_godspeed_lift.jpeg,CA,Canada,Deep and Moving,,,,,,,,,,
Fôrça bruta ,Jorge Ben,1970,Samba Soul,"Oba, lá vem ela",https://www.youtube.com/watch?v=gWUAEnb4BVM,cover_jorge_forca.jpeg,BR,Brazil,Jump for Joy,,,,,,,,,,
Visions of the Country,Robbie Basho,1978,American Primitivism,Orphan's Lament,https://www.youtube.com/watch?v=mFjkdjb7WNs,cover_basho_visions.jpeg,US,USA,Find Peace in Nature,,,,,,,,,,
Reminder,JunxPunx,2014,Hi-Tech Psytrance,Secret Girl,https://www.youtube.com/watch?v=l-OrSlDJVEo,cover_junxpunx_reminder.webp,JP,Japan,Pure Awesome,,0,0,2,0,5,0,0,,
Anthems to the Welkin at Dusk,Emperor,1997,Symphonic Black Metal,Ye Entrancemperium ,https://www.youtube.com/watch?v=9mfpOa0Znr8,cover_emperor_anthems.png,NO,Norway,"⚠️ Sketchy Artist, Gaze Into the Abyss",,0,4,0,4,0,0,0,,
Blood on the Tracks,Bob Dylan,1975,Singer-Songwriter,Shelter from the Storm,https://www.youtube.com/watch?v=IzaXlq1Pdmk,cover_dylan_blood.jpeg,US,USA,Deep and Moving,,3,0,2,0,0,0,0,,
